structure_id,x,y,z,reference_space_id
931,8960,6400,5060,10
125,6730,6070,3900,10
679,9550,5180,5510,10
609,7520,4220,5570,10
108,7580,4870,2740,10
969,2450,3740,5030,10
549009211,8380,4250,5590,10
619,6060,6910,3600,10
141,5830,6280,5460,10
225,11680,4880,4350,10
1109,5070,5810,5040,10
882,4720,2720,3820,10
614,6880,6850,4760,10
298,5410,6570,4030,10
460,10490,4010,4810,10
632,8050,2890,3350,10
159,2810,5160,4630,10
728,11570,3560,3920,10
83,12040,7080,5310,10
576,10550,6330,4580,10
1,7500,6680,4710,10
1054,3590,3710,5040,10
597,3500,4810,5450,10
250,5280,3110,5150,10
797,7360,4940,4130,10
623,5270,4970,3830,10
510,6260,1810,4100,10
402,8260,1680,2000,10
765,11670,5060,3960,10
100,8660,5440,5520,10
982,7140,2230,5550,10
242,4850,4090,5220,10
233,8250,1790,2090,10
197,8610,4430,5650,10
599626927,10700,4610,5440,10
735,7930,2650,840,10
645,11760,2890,4910,10
1047,6730,1710,2340,10
268,6070,6860,3590,10
209,11090,4830,4000,10
1039,12980,5150,5370,10
784,7780,5470,3840,10
303,6840,5830,2510,10
944,12850,2760,5010,10
263,5040,6400,5180,10
7,10180,5650,3630,10
647,7870,6780,2790,10
1083,6850,3480,5150,10
326,10480,4470,4090,10
329,6740,1750,2380,10
91,11530,3930,3850,10
443,8370,1770,4140,10
622,7290,1260,5090,10
663,7980,6670,3010,10
519,11510,3930,4010,10
838,5550,2250,1860,10
422,7930,4380,4380,10
173,6180,6950,5150,10
527,7480,2210,1130,10
1031,6580,5280,3680,10
478,6140,1670,4060,10
4,10380,2140,4420,10
305,8760,1600,3240,10
655,7750,6890,2570,10
413,10610,5650,3340,10
75,8680,3130,3700,10
9,6810,1330,4020,10
184,2270,2770,4560,10
223,6970,7060,5490,10
1010,6170,4400,1160,10
339,10040,2010,4540,10
908,5340,5510,4210,10
672,5340,4210,3350,10
971,8360,1690,3200,10
935,4360,1770,5610,10
966,6790,6190,2220,10
260,6050,7140,3660,10
198,12950,7060,5590,10
269,10090,2170,2390,10
704,3360,5030,2780,10
484682470,9010,3560,2360,10
288,2690,3750,4970,10
312782620,7830,1550,2810,10
952,5630,5470,2350,10
194,6680,5980,4480,10
64,6090,3480,4900,10
121,8950,2170,2380,10
864,7220,4210,4070,10
598,7900,3490,1550,10
1098,12770,6110,4490,10
312782546,7250,860,3670,10
983,6890,3490,3600,10
68,1930,2730,4680,10
56,4240,5810,4490,10
986,7220,1420,4000,10
333,4300,4010,5540,10
607344850,8690,5590,5480,10
301,6950,4960,2900,10
848,6660,6040,3940,10
625,5520,1860,3330,10
385,9070,1200,3120,10
59,6960,4070,5620,10
334,7540,6170,2680,10
930,7510,3930,4970,10
182305693,5690,1280,2660,10
804,7770,4870,4460,10
287,5410,5120,5150,10
905,8260,1540,1870,10
828,10340,2170,4030,10
207,12660,5010,5600,10
618,8260,1770,4280,10
243,7670,2680,1930,10
312782616,7820,1390,2700,10
835,5040,6290,4160,10
614454277,9270,3500,5410,10
1107,12760,6480,5070,10
417,7800,1240,2620,10
485,5340,4210,3350,10
196,1740,3810,4540,10
433,7670,850,4080,10
46,7710,5190,5280,10
231,9560,4650,5440,10
93,9210,6000,3830,10
525,7930,5770,5330,10
919,4660,2170,4930,10
531,8070,2400,5310,10
1101,3500,4290,2990,10
932,8970,5610,5000,10
237,12690,5260,5140,10
1114,8250,1640,1990,10
312782590,9020,2210,1870,10
1009,7630,4390,3900,10
743,9560,4010,2230,10
576073704,6430,6070,4820,10
372,11470,3930,4340,10
272,4940,6500,5520,10
528,11600,3250,3750,10
895,8030,4300,1120,10
401,7670,690,4020,10
909,9310,4570,1690,10
1051,8980,4140,5560,10
239,6330,3680,4600,10
10704,8380,3110,3100,10
215,8070,3280,4420,10
1094,5920,1180,3880,10
169,11530,5080,5460,10
295,7210,6030,2400,10
1038,6800,2120,2640,10
312782624,7840,1630,2860,10
1121,8990,4960,900,10
928,11330,2380,4600,10
1116,10840,5120,5100,10
634,8010,3040,5340,10
558,5490,2150,1720,10
580,9050,3310,3590,10
74,9010,2100,2320,10
752,10850,5120,3390,10
608,3160,3400,4690,10
956,5000,4150,2390,10
567,5770,3740,3350,10
1084,9330,3600,8460,9
877,10590,5610,5950,9
574,9340,6080,6220,9
667,2090,2740,6870,9
143,12140,6690,7030,9
811,10410,2330,6980,9
579,7130,4530,9600,9
375,7910,3340,8410,9
72,5050,5570,6000,9
182305705,5920,1850,8410,9
382,7980,2880,8750,9
968,11940,4290,6380,9
1061,8170,2570,6590,9
355,6720,4880,9520,9
571,6120,4460,5910,9
603,6380,3200,7530,9
607,10880,5450,8300,9
757,9920,4450,6020,9
556,3440,3750,5880,9
202,11260,4830,6620,9
965,8190,570,7040,9
15,5840,4490,6030,9
565,8390,840,7360,9
444,6750,4180,6120,9
349,6650,6550,7050,9
904,4670,5980,5920,9
1104,6090,4590,6530,9
312782554,7210,700,7770,9
437,12110,5880,7650,9
335,8670,4260,10040,9
467,7190,6080,6150,9
688,5640,2930,8680,9
271,9470,3750,7610,9
607344834,8460,5360,5800,9
783,3830,4130,8210,9
901,10780,6060,7960,9
701,11330,4790,6860,9
313,9160,3270,6670,9
470,7310,5380,7390,9
147,10720,4280,6670,9
810,4910,2480,6330,9
549009215,10060,5330,7050,9
669,8990,1460,8550,9
106,11220,5500,7150,9
954,7960,2990,9820,9
